### DOMAIN prog — Programming Languages & Paradigms
scope: programming paradigms; type systems; syntax & semantics; memory & resource management; core language features; metaprogramming & reflection; runtimes & execution models; language families & idioms.
prog.imperative-programming | Imperative Programming | sub:paradigms
systems.locality | Locality of Reference | sub:memory-hierarchy
systems.virtual-memory | Virtual Memory | sub:memory-hierarchy
systems.tlb | TLB | sub:memory-hierarchy
systems.machine-code | Machine Code | sub:assembly
systems.assembly-language | Assembly Language | sub:assembly
systems.registers-addressing | Registers & Addressing Modes | sub:assembly
systems.calling-conventions | Calling Conventions | sub:assembly
systems.stack-frames | Stack & Stack Frames | sub:assembly
systems.interrupts-traps | Interrupts & Traps | sub:assembly
systems.x86-arm-isa | x86 & ARM in Practice | sub:assembly
systems.lexical-analysis | Lexical Analysis | sub:compilers-frontend
systems.parsing | Parsing | sub:compilers-frontend
systems.grammars-cfg | Context-Free Grammars | sub:compilers-frontend
systems.ast | Abstract Syntax Trees | sub:compilers-frontend
systems.semantic-analysis | Semantic Analysis | sub:compilers-frontend
systems.symbol-tables | Symbol Tables & Scoping | sub:compilers-frontend
systems.parser-tools | Parser Generators | sub:compilers-frontend
systems.ir | Intermediate Representation | sub:compilers-backend
systems.ssa | Static Single Assignment | sub:compilers-backend
systems.code-optimization | Optimization Passes | sub:compilers-backend
systems.dataflow-analysis | Dataflow Analysis | sub:compilers-backend
systems.register-allocation | Register Allocation | sub:compilers-backend
systems.code-generation | Code Generation | sub:compilers-backend
systems.jit-compilation | JIT Compilation | sub:compilers-backend
systems.object-files | Object Files | sub:linking-loading
systems.static-linking | Static Linking | sub:linking-loading
systems.dynamic-linking | Dynamic Linking | sub:linking-loading
systems.symbol-resolution | Symbol Resolution | sub:linking-loading
systems.relocation | Relocation | sub:linking-loading
systems.loaders | Loaders & Program Startup | sub:linking-loading
systems.executable-formats | Executable Formats | sub:linking-loading
systems.ilp | Instruction-Level Parallelism | sub:perf-arch
systems.memory-wall | The Memory Wall | sub:perf-arch
systems.cache-aware-opt | Cache-Aware Optimization | sub:perf-arch
systems.perf-counters | Hardware Performance Counters | sub:perf-arch
systems.roofline-model | Roofline Model | sub:perf-arch
systems.false-sharing | False Sharing | sub:perf-arch
systems.amdahl-gustafson | Amdahl's & Gustafson's Laws | sub:perf-arch

### DOMAIN os — Operating Systems & Concurrency
scope: processes & threads; CPU scheduling; memory management; concurrency primitives; synchronization & hazards; inter-process communication; file systems & I/O; parallel & async models.
os.process-model | Process Model | sub:processes
os.threads | Threads | sub:processes
os.process-lifecycle | Process Lifecycle | sub:processes
os.fork-exec | Fork & Exec | sub:processes
os.user-kernel-mode | User vs Kernel Mode | sub:processes
os.system-calls | System Calls | sub:processes
os.interrupts | Interrupts & Traps | sub:processes
os.context-switch | Context Switch | sub:scheduling
os.scheduler-types | Scheduler Goals & Metrics | sub:scheduling
os.preemption | Preemptive Scheduling | sub:scheduling
os.scheduling-algorithms | Scheduling Algorithms | sub:scheduling
os.realtime-scheduling | Real-Time Scheduling | sub:scheduling
os.priority-inversion | Priority Inversion | sub:scheduling
os.multicore-scheduling | Multiprocessor Scheduling | sub:scheduling
os.virtual-memory | Virtual Memory | sub:memory-mgmt
os.paging | Paging | sub:memory-mgmt
os.page-tables | Page Tables & TLB | sub:memory-mgmt
os.demand-paging | Demand Paging | sub:memory-mgmt
os.page-replacement | Page Replacement | sub:memory-mgmt
os.thrashing | Thrashing & Working Set | sub:memory-mgmt
os.allocators | Memory Allocators | sub:memory-mgmt
os.mmap | Memory-Mapped Files | sub:memory-mgmt
os.mutex | Mutex | sub:concurrency
os.semaphore | Semaphore | sub:concurrency
os.condition-variable | Condition Variables | sub:concurrency
os.atomics | Atomic Operations | sub:concurrency
os.spinlock | Spinlocks | sub:concurrency
os.rwlock | Reader-Writer Locks | sub:concurrency
os.memory-barriers | Memory Ordering & Fences | sub:concurrency
os.race-condition | Race Conditions | sub:sync-problems
os.critical-section | Critical Section Problem | sub:sync-problems
os.deadlock | Deadlock | sub:sync-problems
os.deadlock-handling | Deadlock Prevention & Avoidance | sub:sync-problems
os.livelock-starvation | Livelock & Starvation | sub:sync-problems
os.classic-problems | Classic Sync Problems | sub:sync-problems
os.false-sharing | False Sharing | sub:sync-problems
os.shared-memory | Shared Memory IPC | sub:ipc
os.pipes | Pipes & FIFOs | sub:ipc
os.message-queues | Message Queues | sub:ipc
os.sockets-ipc | Unix Domain Sockets | sub:ipc
os.signals | Signals | sub:ipc
os.eventfd-futex | Futexes & Eventfd | sub:ipc
os.file-abstraction | File Abstraction | sub:filesystems
os.inodes | Inodes & Metadata | sub:filesystems
os.vfs | Virtual File System | sub:filesystems
os.journaling | Journaling & Crash Consistency | sub:filesystems
os.page-cache | Page Cache & Buffering | sub:filesystems
os.io-scheduling | Disk & I/O Scheduling | sub:filesystems
os.concurrency-vs-parallelism | Concurrency vs Parallelism | sub:parallelism
os.blocking-nonblocking | Blocking vs Non-Blocking I/O | sub:parallelism
os.event-loop | Event Loop & Reactor | sub:parallelism
os.io-multiplexing | I/O Multiplexing | sub:parallelism
os.async-await | Async/Await & Coroutines | sub:parallelism
os.thread-pools | Thread Pools | sub:parallelism
os.green-threads | Green Threads & Fibers | sub:parallelism
os.actor-model | Actor & CSP Models | sub:parallelism

### DOMAIN net — Networking & Protocols
scope: network models; link & physical layer; network layer & routing; transport layer; application protocols; HTTP & web transport; network security; network programming & tools.
net.osi-model | OSI Model | sub:net-models
net.tcp-ip-model | TCP/IP Model | sub:net-models
net.encapsulation | Encapsulation & PDUs | sub:net-models
net.protocol-layering | Layering & Abstraction | sub:net-models
net.end-to-end-principle | End-to-End Principle | sub:net-models
net.standards-bodies | Standards & RFCs | sub:net-models
net.ethernet | Ethernet | sub:link-physical
net.mac-addressing | MAC Addressing | sub:link-physical
net.switching-bridging | Switching & Bridging | sub:link-physical
net.vlans | VLANs & 802.1Q | sub:link-physical
net.arp | ARP | sub:link-physical
net.wifi | Wi-Fi (802.11) | sub:link-physical
net.physical-media | Physical Media & Signaling | sub:link-physical
net.ipv4 | IPv4 Addressing | sub:ip-routing
net.ipv6 | IPv6 | sub:ip-routing
net.subnetting-cidr | Subnetting & CIDR | sub:ip-routing
net.ip-routing-basics | IP Routing & Forwarding | sub:ip-routing
net.nat | NAT & PAT | sub:ip-routing
net.routing-protocols | Routing Protocols | sub:ip-routing
net.bgp | BGP | sub:ip-routing
net.icmp | ICMP | sub:ip-routing
net.tcp | TCP | sub:transport
net.udp | UDP | sub:transport
net.ports-sockets | Ports & Sockets | sub:transport
net.tcp-handshake | TCP Handshake & Teardown | sub:transport
net.flow-control | Flow Control | sub:transport
net.congestion-control | Congestion Control | sub:transport
net.quic | QUIC | sub:transport
net.dns | DNS | sub:app-protocols
net.dns-records | DNS Records & Zones | sub:app-protocols
net.dhcp | DHCP | sub:app-protocols
net.email-protocols | Email Protocols | sub:app-protocols
net.file-transfer | File Transfer Protocols | sub:app-protocols
net.realtime-protocols | Real-Time Media Protocols | sub:app-protocols
net.websockets | WebSockets | sub:app-protocols
net.http1 | HTTP/1.1 | sub:http-deep
net.http-methods | HTTP Methods & Status | sub:http-deep
net.http-headers | HTTP Headers | sub:http-deep
net.http-caching | HTTP Caching | sub:http-deep
net.cookies-sessions | Cookies & Sessions | sub:http-deep
net.http2 | HTTP/2 | sub:http-deep
net.http3 | HTTP/3 | sub:http-deep
net.tls | TLS / SSL | sub:net-security
net.pki-certs | PKI & Certificates | sub:net-security
net.firewalls | Firewalls | sub:net-security
net.vpn-tunneling | VPN & Tunneling | sub:net-security
net.network-attacks | Network Attacks | sub:net-security
net.dnssec-secure-dns | DNSSEC & Encrypted DNS | sub:net-security
net.socket-programming | Socket Programming | sub:net-tools
net.tcpdump-wireshark | Packet Capture & Analysis | sub:net-tools
net.curl-http-clients | HTTP Clients & curl | sub:net-tools
net.net-diagnostics | Diagnostic Tools | sub:net-tools
net.proxies-load-balancers | Proxies & Load Balancers | sub:net-tools
net.cdn | CDN | sub:net-tools

### DOMAIN data — Databases & Data Management
scope: relational model; SQL; transactions & concurrency; indexing & storage engines; query processing & optimization; NoSQL & alternative models; data modeling & design; data engineering & warehousing.
data.relational-model | Relational Model | sub:relational
data.relational-algebra | Relational Algebra | sub:relational
data.keys-constraints | Keys & Constraints | sub:relational
data.functional-dependencies | Functional Dependencies | sub:relational
data.normalization | Normalization | sub:relational
data.relational-calculus | Relational Calculus | sub:relational
data.tuple-domain-theory | Domains & NULL Semantics | sub:relational
data.sql-ddl | DDL | sub:sql
data.sql-dml | DML & SELECT | sub:sql
data.sql-joins | Joins | sub:sql
data.sql-aggregation | Aggregation & Grouping | sub:sql
data.sql-subqueries | Subqueries & CTEs | sub:sql
data.window-functions | Window Functions | sub:sql
data.recursive-queries | Recursive Queries | sub:sql
data.acid | ACID Properties | sub:transactions
data.transaction-isolation | Isolation Levels | sub:transactions
data.concurrency-anomalies | Concurrency Anomalies | sub:transactions
data.locking | Locking & 2PL | sub:transactions
data.mvcc | MVCC | sub:transactions
data.deadlock-handling | Deadlock Detection | sub:transactions
data.write-ahead-log | Write-Ahead Logging | sub:transactions
data.serializability | Serializability Theory | sub:transactions
data.btree-index | B-Tree Indexes | sub:indexing-storage
data.lsm-tree | LSM Trees | sub:indexing-storage
data.hash-index | Hash Indexes | sub:indexing-storage
data.page-storage | Page & Buffer Management | sub:indexing-storage
data.row-vs-column | Row vs Columnar Storage | sub:indexing-storage
data.secondary-indexes | Secondary & Covering Indexes | sub:indexing-storage
data.specialized-indexes | Specialized Indexes | sub:indexing-storage
data.query-planner | Query Planner | sub:query-optimization
data.cost-based-optimization | Cost-Based Optimization | sub:query-optimization
data.cardinality-estimation | Cardinality Estimation | sub:query-optimization
data.join-algorithms | Join Algorithms | sub:query-optimization
data.join-ordering | Join Ordering | sub:query-optimization
data.query-execution | Execution Engines | sub:query-optimization
data.statistics-explain | Statistics & EXPLAIN | sub:query-optimization
data.cap-theorem | CAP & Tradeoffs | sub:nosql
data.key-value-stores | Key-Value Stores | sub:nosql
data.document-stores | Document Databases | sub:nosql
data.wide-column-stores | Wide-Column Stores | sub:nosql
data.graph-databases | Graph Databases | sub:nosql
data.time-series-db | Time-Series & Specialized DBs | sub:nosql
data.eventual-consistency | Eventual Consistency | sub:nosql
data.er-modeling | Entity-Relationship Modeling | sub:data-modeling
data.schema-design | Schema Design | sub:data-modeling
data.denormalization | Denormalization | sub:data-modeling
data.dimensional-modeling | Dimensional Modeling | sub:data-modeling
data.schema-migration | Schema Migration & Evolution | sub:data-modeling
data.data-types-modeling | Data Type & Key Selection | sub:data-modeling
data.polyglot-persistence | Polyglot Persistence | sub:data-modeling
data.etl-elt | ETL & ELT | sub:data-pipelines
data.data-warehouse | Data Warehouse | sub:data-pipelines
data.data-lake | Data Lake & Lakehouse | sub:data-pipelines
data.olap-cubes | OLAP & Analytics | sub:data-pipelines
data.batch-stream-processing | Batch vs Stream Processing | sub:data-pipelines
data.cdc | Change Data Capture | sub:data-pipelines
data.data-quality-governance | Data Quality & Governance | sub:data-pipelines
data.partitioning-sharding | Partitioning & Sharding | sub:data-pipelines

### DOMAIN distributed — Distributed Systems
scope: fundamentals (failure, time, CAP); consistency models; consensus & coordination; replication & partitioning; messaging & streaming; distributed data; fault tolerance & resilience; distributed patterns.
distributed.eight-fallacies | Fallacies of Distributed Computing | sub:dist-fundamentals
distributed.partial-failure | Partial Failure | sub:dist-fundamentals
distributed.failure-models | Failure Models | sub:dist-fundamentals
distributed.cap-theorem | CAP Theorem | sub:dist-fundamentals
distributed.pacelc | PACELC Theorem | sub:dist-fundamentals
distributed.flp-impossibility | FLP Impossibility | sub:dist-fundamentals
distributed.time-clocks | Clocks & Time | sub:dist-fundamentals
distributed.happens-before | Happens-Before Relation | sub:consistency
distributed.logical-clocks | Logical & Vector Clocks | sub:consistency
distributed.linearizability | Linearizability | sub:consistency
distributed.sequential-consistency | Sequential Consistency | sub:consistency
distributed.causal-consistency | Causal Consistency | sub:consistency
distributed.eventual-consistency | Eventual Consistency | sub:consistency
distributed.session-guarantees | Session Guarantees | sub:consistency
distributed.consensus-problem | The Consensus Problem | sub:consensus
distributed.quorum | Quorums | sub:consensus
distributed.paxos | Paxos | sub:consensus
distributed.raft | Raft | sub:consensus
distributed.leader-election | Leader Election | sub:consensus
distributed.byzantine-ft | Byzantine Fault Tolerance | sub:consensus
distributed.coordination-service | Coordination Services | sub:consensus
distributed.replication-basics | Replication Fundamentals | sub:replication
distributed.leader-follower | Leader-Follower Replication | sub:replication
distributed.multi-leader | Multi-Leader Replication | sub:replication
distributed.leaderless-replication | Leaderless Replication | sub:replication
distributed.sync-async-replication | Sync vs Async Replication | sub:replication
distributed.partitioning | Partitioning & Sharding | sub:replication
distributed.consistent-hashing | Consistent Hashing | sub:replication
distributed.message-queue | Message Queues | sub:messaging
distributed.pub-sub | Publish-Subscribe | sub:messaging
distributed.delivery-semantics | Delivery Semantics | sub:messaging
distributed.event-log | Log-Based Streaming | sub:messaging
distributed.stream-processing | Stream Processing | sub:messaging
distributed.backpressure | Backpressure & Flow Control | sub:messaging
distributed.message-ordering | Message Ordering | sub:messaging
distributed.distributed-transactions | Distributed Transactions | sub:dist-data
distributed.two-phase-commit | Two-Phase Commit | sub:dist-data
distributed.saga | Saga Pattern | sub:dist-data
distributed.crdt | CRDTs | sub:dist-data
distributed.conflict-resolution | Conflict Resolution | sub:dist-data
distributed.read-repair-aae | Anti-Entropy & Read Repair | sub:dist-data
distributed.fault-tolerance-basics | Fault Tolerance Basics | sub:fault-tolerance
distributed.redundancy | Redundancy | sub:fault-tolerance
distributed.failure-detection | Failure Detection | sub:fault-tolerance
distributed.timeout-retry | Timeouts & Retries | sub:fault-tolerance
distributed.idempotency | Idempotency | sub:fault-tolerance
distributed.circuit-breaker | Circuit Breaker | sub:fault-tolerance
distributed.cascading-failure | Cascading Failures | sub:fault-tolerance
distributed.load-balancing | Load Balancing | sub:dist-patterns
distributed.service-discovery | Service Discovery | sub:dist-patterns
distributed.rate-limiting | Rate Limiting & Throttling | sub:dist-patterns
distributed.bulkhead | Bulkhead Isolation | sub:dist-patterns
distributed.leader-lease | Leader Lease & Fencing | sub:dist-patterns
distributed.outbox-pattern | Transactional Outbox | sub:dist-patterns
distributed.sidecar | Sidecar & Service Mesh | sub:dist-patterns

### DOMAIN arch — Software Design & Architecture
scope: design principles; design patterns; architectural styles; domain-driven design; API & interface design; modularity & components; quality attributes; refactoring & evolution.
arch.solid | SOLID Principles | sub:design-principles
arch.dry | DRY | sub:design-principles
arch.kiss-yagni | KISS & YAGNI | sub:design-principles
arch.separation-of-concerns | Separation of Concerns | sub:design-principles
arch.coupling-cohesion | Coupling & Cohesion | sub:design-principles
arch.composition-over-inheritance | Composition Over Inheritance | sub:design-principles
arch.information-hiding | Information Hiding | sub:design-principles
arch.gof-patterns | GoF Pattern Catalog | sub:design-patterns
arch.creational-patterns | Creational Patterns | sub:design-patterns
arch.structural-patterns | Structural Patterns | sub:design-patterns
arch.behavioral-patterns | Behavioral Patterns | sub:design-patterns
arch.dependency-injection | Dependency Injection | sub:design-patterns
arch.inversion-of-control | Inversion of Control | sub:design-patterns
arch.repository-pattern | Repository Pattern | sub:design-patterns
arch.anti-patterns | Anti-Patterns | sub:design-patterns
arch.layered-architecture | Layered Architecture | sub:arch-styles
arch.hexagonal-architecture | Hexagonal Architecture | sub:arch-styles
arch.clean-architecture | Clean Architecture | sub:arch-styles
arch.event-driven-arch | Event-Driven Architecture | sub:arch-styles
arch.monolith-vs-distributed | Monolith vs Distributed | sub:arch-styles
arch.cqrs-eventsourcing | CQRS & Event Sourcing | sub:arch-styles
arch.microkernel | Microkernel & Plugins | sub:arch-styles
arch.ubiquitous-language | Ubiquitous Language | sub:ddd
arch.bounded-context | Bounded Context | sub:ddd
arch.aggregates | Aggregates & Roots | sub:ddd
arch.entities-value-objects | Entities & Value Objects | sub:ddd
arch.domain-services | Domain Services & Events | sub:ddd
arch.context-mapping | Context Mapping | sub:ddd
arch.strategic-design | Strategic Design | sub:ddd
arch.api-contract | API Contracts | sub:api-design
arch.rest-design | Resource-Oriented Design | sub:api-design
arch.api-versioning | API Versioning | sub:api-design
arch.backward-compatibility | Backward Compatibility | sub:api-design
arch.idempotency | Idempotency & Safety | sub:api-design
arch.interface-design | Interface Design | sub:api-design
arch.error-design | Error & Pagination Design | sub:api-design
arch.modularization | Modularization | sub:modularity
arch.encapsulation | Encapsulation | sub:modularity
arch.dependency-management | Dependency Management | sub:modularity
arch.acyclic-dependencies | Acyclic Dependencies | sub:modularity
arch.component-cohesion | Component Cohesion | sub:modularity
arch.package-structure | Package & Module Boundaries | sub:modularity
arch.plugin-extensibility | Extensibility Points | sub:modularity
arch.quality-attributes | Quality Attributes | sub:arch-quality
arch.maintainability | Maintainability | sub:arch-quality
arch.scalability-design | Scalability | sub:arch-quality
arch.testability | Testability | sub:arch-quality
arch.tradeoff-analysis | Architectural Trade-offs | sub:arch-quality
arch.conways-law | Conway's Law | sub:arch-quality
arch.refactoring-basics | Refactoring | sub:refactoring
arch.code-smells | Code Smells | sub:refactoring
arch.technical-debt | Technical Debt | sub:refactoring
arch.strangler-fig | Strangler Fig Pattern | sub:refactoring
arch.legacy-modernization | Legacy Modernization | sub:refactoring
arch.architecture-evolution | Evolutionary Architecture | sub:refactoring

### DOMAIN web — Web & Frontend Engineering
scope: web fundamentals; HTML & CSS; JavaScript & the platform; component frameworks; state & data management; rendering & delivery; performance & accessibility; modern web platform.
web.uri-url | URLs & URIs | sub:web-fundamentals
web.http-request-response | HTTP Request/Response | sub:web-fundamentals
web.dns-resolution | DNS Resolution | sub:web-fundamentals
web.browser-rendering-pipeline | Browser Rendering Pipeline | sub:web-fundamentals
web.same-origin-policy | Same-Origin Policy | sub:web-fundamentals
web.cookies-sessions | Cookies & Sessions | sub:web-fundamentals
web.web-standards-bodies | Web Standards & Specs | sub:web-fundamentals
web.semantic-html | Semantic HTML | sub:html-css
web.css-box-model | CSS Box Model | sub:html-css
web.css-cascade-specificity | Cascade & Specificity | sub:html-css
web.flexbox-grid | Flexbox & Grid | sub:html-css
web.responsive-design | Responsive Design | sub:html-css
web.css-architecture | CSS Architecture | sub:html-css
web.css-animations-transforms | Animations & Transforms | sub:html-css
web.js-language-core | JavaScript Core | sub:js-frontend
web.dom-api | DOM API | sub:js-frontend
web.event-model | Event Model | sub:js-frontend
web.event-loop-async | Event Loop & Async | sub:js-frontend
web.fetch-ajax | Fetch & XHR | sub:js-frontend
web.es-modules | ES Modules | sub:js-frontend
web.typescript | TypeScript | sub:js-frontend
web.component-model | Component Model | sub:frontend-frameworks
web.declarative-rendering | Declarative UI | sub:frontend-frameworks
web.virtual-dom-reconciliation | Virtual DOM & Diffing | sub:frontend-frameworks
web.reactivity-systems | Reactivity & Signals | sub:frontend-frameworks
web.component-lifecycle-hooks | Lifecycle & Hooks | sub:frontend-frameworks
web.frontend-routing | Client-Side Routing | sub:frontend-frameworks
web.web-components | Web Components | sub:frontend-frameworks
web.local-component-state | Local Component State | sub:state-data
web.global-state-management | Global State Stores | sub:state-data
web.unidirectional-data-flow | Unidirectional Data Flow | sub:state-data
web.server-state-caching | Server State & Caching | sub:state-data
web.derived-state-memoization | Derived State & Memoization | sub:state-data
web.forms-validation | Forms & Validation | sub:state-data
web.optimistic-updates | Optimistic Updates | sub:state-data
web.client-side-rendering | Client-Side Rendering | sub:rendering-strategies
web.server-side-rendering | Server-Side Rendering | sub:rendering-strategies
web.static-site-generation | Static Generation | sub:rendering-strategies
